CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,LOYALTY_TIER,CUSTOMER_SINCE,CREATED_AT,CUSTOMER_ORIGIN
TZ_101,Aisha,Sharma,aisha.sharma@prabirbera.com,+919000000101,SILVER,2026-06-10,2026-09-03 13:22:50.735 -0700,OFFLINE_ONLY_SIMULATED
TZ_102,Offline,Customer 102,offline.customer102@prabirbera.com,+919100000102,BRONZE,2026-06-06,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_103,Offline,Customer 103,offline.customer103@prabirbera.com,+919100000103,SILVER,2026-05-26,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_104,Offline,Customer 104,offline.customer104@prabirbera.com,+919100000104,GOLD,2026-05-15,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_105,Offline,Customer 105,offline.customer105@prabirbera.com,+919100000105,BRONZE,2026-05-04,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_106,Offline,Customer 106,offline.customer106@prabirbera.com,+919100000106,SILVER,2026-04-23,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_107,Offline,Customer 107,offline.customer107@prabirbera.com,+919100000107,GOLD,2026-04-12,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_108,Offline,Customer 108,offline.customer108@prabirbera.com,+919100000108,BRONZE,2026-04-01,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_109,Offline,Customer 109,offline.customer109@prabirbera.com,+919100000109,SILVER,2026-03-21,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_110,Offline,Customer 110,offline.customer110@prabirbera.com,+919100000110,GOLD,2026-03-10,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_111,Offline,Customer 111,offline.customer111@prabirbera.com,+919100000111,BRONZE,2026-02-27,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_112,Offline,Customer 112,offline.customer112@prabirbera.com,+919100000112,SILVER,2026-02-16,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_113,Offline,Customer 113,offline.customer113@prabirbera.com,+919100000113,GOLD,2026-02-05,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_114,Offline,Customer 114,offline.customer114@prabirbera.com,+919100000114,BRONZE,2026-01-25,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_115,Offline,Customer 115,offline.customer115@prabirbera.com,+919100000115,SILVER,2026-01-14,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_116,Offline,Customer 116,offline.customer116@prabirbera.com,+919100000116,GOLD,2026-01-03,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_117,Offline,Customer 117,offline.customer117@prabirbera.com,+919100000117,BRONZE,2025-12-23,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_118,Offline,Customer 118,offline.customer118@prabirbera.com,+919100000118,SILVER,2025-12-12,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_119,Offline,Customer 119,offline.customer119@prabirbera.com,+919100000119,GOLD,2025-12-01,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_120,Offline,Customer 120,offline.customer120@prabirbera.com,+919100000120,BRONZE,2025-11-20,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_121,Offline,Customer 121,offline.customer121@prabirbera.com,+919100000121,SILVER,2025-11-09,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_122,Offline,Customer 122,offline.customer122@prabirbera.com,+919100000122,GOLD,2025-10-29,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_123,Offline,Customer 123,offline.customer123@prabirbera.com,+919100000123,BRONZE,2025-10-18,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_124,Offline,Customer 124,offline.customer124@prabirbera.com,+919100000124,SILVER,2025-10-07,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_125,Offline,Customer 125,offline.customer125@prabirbera.com,+919100000125,GOLD,2025-09-26,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_126,Offline,Customer 126,offline.customer126@prabirbera.com,+919100000126,BRONZE,2025-09-15,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
TZ_127,Offline,Customer 127,offline.customer127@prabirbera.com,+919100000127,SILVER,2025-09-04,2026-09-04 01:06:15.296 -0700,OFFLINE_ONLY_SIMULATED
